Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
0,100.075,5.156,31.242,17.013,0.746,0.999,02/28/25-15:03:37
1,100.08,0.981,23.567,8.776,0.326,0.999,02/28/25-15:05:47
2,100.074,2.811,690.219,19.387,0.576,0.999,02/28/25-15:07:57
3,100.081,2.814,24.88,15.655,0.661,0.999,02/28/25-15:10:07
4,100.073,2.939,34.839,14.823,0.85,0.999,02/28/25-15:12:17
5,100.071,2.134,25.253,14.413,0.851,0.999,02/28/25-15:14:27
6,100.072,1.415,31.496,15.036,0.932,0.999,02/28/25-15:16:37
7,100.064,1.417,22.337,11.686,1.459,0.999,02/28/25-15:18:47
8,100.072,3.012,30.44,15.896,0.788,0.999,02/28/25-15:20:58
9,100.079,3.89,23.522,15.647,0.785,0.999,02/28/25-15:23:08
10,100.078,6.142,34.306,17.13,0.724,0.999,02/28/25-15:25:18
11,100.075,1.103,218.592,7.6,0.691,0.999,02/28/25-15:27:28
12,100.068,3.734,702.535,22.774,0.736,0.999,02/28/25-15:29:38
13,100.077,2.344,710.514,17.691,0.603,0.999,02/28/25-15:31:48
14,100.082,3.553,693.255,21.579,0.578,0.999,02/28/25-15:33:58
15,100.067,0.835,699.6,15.602,0.687,0.999,02/28/25-15:36:08
16,100.595,1.096,1545.352,24.888,0.787,0.994,02/28/25-15:38:19
17,100.074,0.94,26.069,10.632,1.078,0.999,02/28/25-15:40:29
18,100.064,2.516,19.34,9.385,0.637,0.999,02/28/25-15:42:39
19,100.076,2.987,28.734,16.544,0.64,0.999,02/28/25-15:44:50
20,100.069,1.486,27.794,8.568,0.436,0.999,02/28/25-15:47:00
21,100.065,3.84,690.443,21.906,1.032,0.999,02/28/25-15:49:10
22,100.085,1.907,712.39,15.598,0.472,0.999,02/28/25-15:51:20
23,100.07,3.05,225.732,15.109,0.62,0.999,02/28/25-15:53:30
24,100.086,0.709,718.319,18.991,0.676,0.999,02/28/25-15:55:40
25,100.079,3.409,690.877,17.315,0.6,0.999,02/28/25-15:57:50
26,100.069,2.734,280.776,16.068,1.413,0.999,02/28/25-16:00:00
27,100.065,3.806,21.373,9.312,0.539,0.999,02/28/25-16:02:11
28,100.074,1.825,25.201,12.141,0.561,0.999,02/28/25-16:04:21
29,100.064,0.603,219.705,7.246,0.608,0.999,02/28/25-16:06:31
30,100.077,2.757,694.591,20.025,0.535,0.999,02/28/25-16:08:41
31,100.075,5.722,34.508,16.849,0.733,0.999,02/28/25-16:10:51
32,100.068,0.66,14.535,6.817,0.34,0.999,02/28/25-16:13:01
33,100.069,3.035,692.692,21.064,0.622,0.999,02/28/25-16:15:11
34,100.081,1.507,288.439,12.688,0.713,0.999,02/28/25-16:17:21
35,100.07,0.817,14.379,6.175,0.422,0.999,02/28/25-16:19:32
36,100.067,3.216,276.015,13.09,1.082,0.999,02/28/25-16:21:42
37,100.072,2.165,23.496,16.073,0.854,0.999,02/28/25-16:23:52
38,100.082,1.029,709.411,22.551,0.54,0.999,02/28/25-16:26:02
39,100.069,1.356,16.57,7.561,0.299,0.999,02/28/25-16:28:12
40,100.08,3.206,272.155,18.971,0.717,0.999,02/28/25-16:30:22
41,100.073,0.51,26.207,8.683,0.352,0.999,02/28/25-16:32:32
42,100.214,1.503,1555.977,18.578,2.312,0.998,02/28/25-16:34:43
43,100.623,1.452,1600.18,29.968,2.738,0.994,02/28/25-16:36:54
44,100.071,3.426,284.733,12.934,0.497,0.999,02/28/25-16:39:04
45,100.082,2.432,29.849,15.771,0.849,0.999,02/28/25-16:41:14
46,100.082,1.836,27.128,10.393,2.822,0.999,02/28/25-16:43:24
47,3936.19,3.363,23.898,15.971,0.816,0.009,02/28/25-17:49:30
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
